T=0 C=V L=0 H=0 P=0 D=0 OUT=3c00
T=1 C=V L=1 H=3 P=42 D=0 OUT=3c00
T=1 C=V L=1 H=3 P=42 D=1 OUT=3c01
T=1 C=V L=1 H=3 P=42 D=2 OUT=3c02
T=1 C=V L=1 H=3 P=42 D=3 OUT=3c03
T=1 C=V L=1 H=3 P=42 D=4 OUT=3c04
T=1 C=V L=1 H=3 P=42 D=5 OUT=3c05
T=1 C=V L=1 H=3 P=42 D=6 OUT=3c06
T=1 C=V L=1 H=3 P=42 D=7 OUT=3c07
T=1 C=V L=1 H=3 P=42 D=8 OUT=3c08
T=1 C=V L=1 H=3 P=42 D=9 OUT=3c09
T=1 C=V L=1 H=3 P=42 D=10 OUT=3c0a
T=1 C=V L=1 H=3 P=42 D=11 OUT=3c0b
T=1 C=V L=1 H=3 P=42 D=12 OUT=3c0c
T=1 C=V L=1 H=3 P=42 D=13 OUT=3c0d
T=1 C=V L=1 H=3 P=42 D=14 OUT=3c0e
T=1 C=V L=1 H=3 P=42 D=15 OUT=3c0f
T=2 C=K L=0 H=0 P=5 D=0 OUT=4011
T=2 C=K L=0 H=1 P=5 D=0 OUT=4022
T=3 C=K L=2 H=5 P=100 D=7 OUT=cafe
T=3 C=V L=2 H=5 P=100 D=7 OUT=5500
T=4 C=K L=0 H=7 P=200 D=15 OUT=ffff
T=4 C=K L=3 H=7 P=200 D=15 OUT=0001
